RegioNaam;VVD;Partij van de Arbeid;PVV;SP;CDA;Democraten 66;ChristenUnie;GROENLINKS;Staatkundig Gereformeerde Partij;Partij voor de Dieren;50PLUS;Piratenpartij;Partij voor Mens en Spirit;SOPN;Partij van de Toekomst;Democratisch Politiek Keerpunt DPK;Libertarische Partij;Nederland Lokaal;Liberaal Democratische Partij;Anti Europa Partij;Politieke Partij NXD
Druten;0.302489019033675;0.24821864324060516;0.10395314787701318;0.13840897999023913;0.08189360663738408;0.0700829673011225;0.004099560761346999;0.01171303074670571;0.0008784773060029283;0.013665202537823329;0.019424109321620302;0.0017569546120058566;0.0007808687164470473;0.0008784773060029283;0.0008784773060029283;0.0004880429477794046;0.0;9.760858955588091e-05;0.00019521717911176182;9.760858955588091e-05;0.0
Duiven;0.3011517615176152;0.25914634146341464;0.0956639566395664;0.11002710027100271;0.08590785907859079;0.0736449864498645;0.013821138211382113;0.017953929539295393;0.001964769647696477;0.013143631436314362;0.021205962059620595;0.0016260162601626016;0.0016937669376693768;0.0008130081300813008;0.000948509485094851;0.0006097560975609756;0.00013550135501355014;0.00027100271002710027;0.0002032520325203252;6.775067750677507e-05;0.0
Echt-Susteren;0.20457467323762588;0.18791514891793443;0.22021641311334905;0.133008356545961;0.13231197771587744;0.051317763016927365;0.005249625026783801;0.014516820227126633;0.0005356760231412042;0.019498607242339833;0.02040925648167988;0.003053353331904864;0.0031069209342189843;0.001392757660167131;0.0006428112277694451;0.0011784872509106492;0.0005356760231412042;5.356760231412042e-05;0.00032140561388472255;0.00016070280694236127;0.0
Edam-Volendam;0.4331764285288685;0.11183936125841626;0.16838467496871834;0.04087469463147232;0.14055889888577727;0.039742596675207055;0.004707144133945063;0.012870166239647263;0.0017279389858785676;0.013406423166299232;0.0227015432282667;0.002145027706607877;0.002204611809569207;0.0025621164273371866;0.0003575046177679795;0.0011320979562652685;0.000774593338497289;0.0003575046177679795;0.0002979205148066496;0.00017875230888398974;0.0
Ede;0.27138320177602365;0.15521706956092748;0.0744172422298964;0.0517081894425259;0.11084731129748397;0.06171373951652689;0.09647878638381845;0.01907067094227923;0.12418290577207695;0.013597681302417366;0.015016033547113962;0.002019610261470153;0.0013258510113468179;0.001156265416872225;0.0008170942279230389;0.0005087567834237789;0.000246669955599408;7.7084361124815e-05;9.250123334977799e-05;0.000123334977799704;0.0
Eemnes;0.39710521432547785;0.18630543700129895;0.08591575431434403;0.06476155130822045;0.0853590647615513;0.08257561699758768;0.024865466691408426;0.014659491556875116;0.009649285581740583;0.02263870848023752;0.018370755242159954;0.0040823900538133236;0.000556689552792726;0.0007422527370569679;0.000556689552792726;0.0007422527370569679;0.0007422527370569679;0.00018556318426424197;0.00018556318426424197;0.0;0.0
Eemsmond;0.1597051597051597;0.3333333333333333;0.06152743652743653;0.12407862407862408;0.1160933660933661;0.03552416052416053;0.09418509418509419;0.01996314496314496;0.01382063882063882;0.019246519246519246;0.01382063882063882;0.0025593775593775593;0.00214987714987715;0.000819000819000819;0.0007166257166257166;0.000819000819000819;0.0009213759213759214;0.0003071253071253071;0.00020475020475020476;0.00020475020475020476;0.0
Eersel;0.32543458371454714;0.17008234217749313;0.08371454711802379;0.12342177493138153;0.15233302836230558;0.0787740164684355;0.004208600182982617;0.01555352241537054;0.0010978956999085087;0.01253430924062214;0.024885635864592862;0.001555352241537054;0.0019213174748398901;0.0010064043915827996;0.0005489478499542544;0.001646843549862763;0.0006404391582799634;0.00018298261665141812;0.00036596523330283625;9.149130832570906e-05;0.0
Eijsden-Margraten;0.2603391648233796;0.22501508143977478;0.12916415309337087;0.10617333601447818;0.1308398686239024;0.07688182854078691;0.0038206314096119044;0.022722702594007643;0.0009384006970976607;0.01622092633554528;0.019773443260272135;0.0020778872578591056;0.0031503451973992893;0.0009384006970976607;0.0004021717273275689;0.0006702862122126147;0.00020108586366378444;0.0002681144848850459;0.0002681144848850459;0.00013405724244252296;0.0
Eindhoven;0.22588430977283205;0.2626759353841425;0.09883116530920333;0.14041383799029136;0.05911067318731186;0.1065058803322998;0.012077054500420346;0.028773401553022427;0.0016090686385290581;0.01935402221961075;0.031159885376458783;0.005514223985970368;0.002142411614221274;0.0016723466186959312;0.0013649964293139763;0.000903971145241044;0.0006056606673114994;0.0008316534536217604;0.00039774730390605933;0.00017175451759579834;0.0
Elburg;0.22863279514146054;0.11598281736039105;0.06969337875870242;0.05969486002073767;0.13509109761516813;0.029921493112131537;0.16456821211672346;0.009480077025625833;0.16138349874092728;0.008739446007998815;0.012072285587320397;0.0006665679158643164;0.001259072729965931;0.0008887572211524219;0.0005184417123389127;0.0003703155088135091;7.406310176270182e-05;0.0006665679158643164;0.00022218930528810547;7.406310176270182e-05;0.0
