RegioNaam;CDA;Partij van de Arbeid;SP;VVD;PVV;GL;ChristenUnie;Democraten 66;Partij voor de Dieren;Staatkundig Gereformeerde Partij;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamaras Open Partij
Heiloo;0.28903654485049834;0.18048681266526545;0.13112753407010644;0.21723506678418875;0.043257169977625604;0.05885144755576649;0.020543765679029085;0.020747169299613535;0.023120211539765408;0.0011526205166451963;0.007186927927317106;0.0017628313783985355;0.0016272289646755713;0.0023052410332903926;0.00047460844803037496;0.0;6.780120686148214e-05;0.0002034036205844464;0.0006780120686148214;0.00013560241372296427;0.0;0.0;0.0;0.0
Helden;0.41557084385613513;0.1330662718801707;0.1555342680484194;0.10624401288861796;0.13219541931550988;0.022816337194113037;0.008795610903074109;0.007663502569015066;0.00914395192893843;0.0005225115387964817;0.00296089871984673;0.002351301924584168;0.0015675346163894453;0.0007837673081947227;0.00034834102586432116;0.0;0.00034834102586432116;0.0;0.0;8.708525646608029e-05;0.0;0.0;0.0;0.0
Hellendoorn;0.48136542157600065;0.1550513913261469;0.12267067769700009;0.08924542491852594;0.03329990808055486;0.022770953455335505;0.0695245257792262;0.008732347288376368;0.008022060666833792;0.003676777805632155;0.002047296732681541;0.001796607336842985;0.000501378791677112;0.000125344697919278;0.000125344697919278;0.0;0.000125344697919278;0.0006685050555694827;0.00020890782986546336;0.0;4.178156597309267e-05;0.0;0.0;0.0
Hellevoetsluis;0.20598148385170015;0.20282435257476855;0.1823883271470626;0.18516148299842144;0.10222279107470456;0.03114467340756858;0.02419045181108409;0.015657664576133795;0.021203976278851486;0.0032424591492811127;0.0173215580869491;0.004650369043047911;0.0019198771278638167;0.0005972951064465207;0.0006826229787960237;0.00017065574469900594;0.00021331968087375742;0.0;0.00021331968087375742;0.00012799180852425445;8.532787234950297e-05;0.0;0.0;0.0
Helmond;0.264681822095927;0.20737535520537329;0.23992508395763368;0.13564539739946613;0.07642297425299234;0.027813657108412985;0.011711013519331783;0.012744338241625764;0.01319641780762938;0.00047360716438474125;0.004456212864892792;0.0020881770429690863;0.0020666494445879618;0.0;0.0005597175579092397;0.0;0.00036596917247911823;0.0;0.0001291655902867476;0.00021527598381124603;0.0001291655902867476;0.0;0.0;0.0
Hendrik-Ido-Ambacht;0.27631150211795374;0.14773541870316065;0.11065493646138808;0.1508634734441186;0.06581948517432389;0.019420006516780712;0.07012056044314109;0.010426849136526556;0.013554903877484523;0.11814923427826654;0.012642554578038449;0.002476376669925057;0.00039100684261974585;0.00039100684261974585;0.0007820136852394917;6.516780710329097e-05;6.516780710329097e-05;0.0;6.516780710329097e-05;0.0;6.516780710329097e-05;0.0;0.0;0.0
Hengelo;0.2796867254882522;0.2333498562506196;0.2009517200356895;0.11985724199464658;0.04701100426291266;0.03973431149003668;0.03451967879448795;0.0234559333795975;0.013006840487756518;0.0013086150490730644;0.003132745117477942;0.0016060275602260334;0.0006543075245365322;0.0004362050163576881;0.00031724001189650043;0.0;0.00021810250817884405;0.0005353425200753445;9.91375037176564e-05;0.0;0.00011896500446118767;0.0;0.0;0.0
Het Bildt;0.31353337415799143;0.2475505205143907;0.19718309859154928;0.10165339865278629;0.04102878138395591;0.030006123698714023;0.04225352112676056;0.007501530924678506;0.011635027556644213;0.0010716472749540723;0.002908756889161053;0.0010716472749540723;0.00045927740355174526;0.0009185548071034905;0.00045927740355174526;0.0;0.00045927740355174526;0.00015309246785058175;0.0;0.00015309246785058175;0.0;0.0;0.0;0.0
Heumen;0.34522245166134785;0.18396846254927726;0.17186033414679933;0.1483011075652337;0.03857706025905763;0.05519053876478318;0.015017833677492022;0.020274075464614228;0.015205556598460672;0.0004693073024216257;0.0030974281959827293;0.0010324760653275765;0.0004693073024216257;0.0005631687629059508;0.0004693073024216257;0.0;9.386146048432514e-05;0.0;0.0;0.00018772292096865028;0.0;0.0;0.0;0.0
Heusden;0.35257531584062196;0.16318756073858115;0.1770651117589893;0.15657920310981535;0.06623906705539359;0.028843537414965988;0.014538386783284743;0.015160349854227406;0.012089407191448008;0.001749271137026239;0.006724975704567542;0.0026044703595724003;0.0015160349854227405;0.0;0.0004275996112730807;0.0;0.00027210884353741496;0.0;3.8872691933916424e-05;0.00023323615160349855;0.0001554907677356657;0.0;0.0;0.0
Heythuysen;0.4208126592463457;0.12203298913772294;0.1693710607482902;0.11787582137588842;0.09387153010594072;0.02722274373072281;0.013007912028966073;0.009655357382325333;0.013410218586562961;0.001072817486925037;0.0036207590183719995;0.0025479415314469626;0.0026820437173125924;0.0014751240445219256;0.0004023065575968888;0.0;0.0008046131151937776;0.0;0.0;0.00013410218586562962;0.0;0.0;0.0;0.0
Hillegom;0.33213728549141963;0.14960998439937598;0.13634945397815912;0.20062402496099843;0.06591263650546021;0.040171606864274574;0.018642745709828393;0.01341653666146646;0.02379095163806552;0.0049921996879875195;0.008190327613104524;0.0035881435257410295;0.0;0.00078003120124805;0.000546021840873635;0.00031201248049921997;0.00031201248049921997;0.0;0.00031201248049921997;0.000234009360374415;7.800312012480499e-05;0.0;0.0;0.0
Hilvarenbeek;0.422567053745761;0.13862912341999795;0.16771143767341487;0.15424930634056108;0.04377761792210461;0.030418250950570342;0.009043263796115508;0.010173671770629946;0.013667660055492754;0.0008221148905559552;0.00421333881409927;0.0029801664782653377;0.0007193505292364608;0.0003082930839584832;0.0;0.0;0.0;0.000513821806597472;0.0;0.0;0.0002055287226389888;0.0;0.0;0.0
