RegioNaam;CDA;Partij van de Arbeid;VVD;SP;Lijst Pim Fortuyn;GL;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Driebergen-Rijsenburg;0.2799364920197209;0.21007771371270995;0.22277930976853014;0.04779811147321802;0.03877329322303;0.07971922787666082;0.05732430851508315;0.02531962897969416;0.027158017882510238;0.004763098520932565;0.003175399013955043;0.0007520681875156681;0.000501378791677112;0.0011698838472465947;0.00033425252778474136;0.00016712626389237068;0.00016712626389237068;8.356313194618534e-05;0.0
Drimmelen;0.3436988543371522;0.25337940231557254;0.1911256592107656;0.06443595805297933;0.0580105473722495;0.033218160877735346;0.03643086621810026;0.003940110323089046;0.0009698733102988422;0.004182578650663757;0.004606898223919501;0.0029096199308965265;0.0015760441292356187;0.00012123416378735527;0.0003637024913620658;0.0005455537370430987;0.0;0.0004849366551494211;0.0
Dronten;0.36905199338600037;0.18725886459672975;0.21899687672239573;0.04069446996141834;0.05194745544736359;0.04028109498438361;0.0315083593606467;0.04446077530773471;0.004638985853389675;0.003812235899320228;0.004547124747381959;0.0007348888480617307;0.000826749954069447;0.000551166636046298;0.000551166636046298;0.0;0.0;0.0001377916590115745;0.0
Druten;0.3309420426656598;0.3019633754955635;0.16773645459694167;0.06598074381725505;0.04606380970360582;0.04096658485935435;0.035114215593732304;0.0013215027373985274;0.0005663583160279403;0.0034925429488389653;0.0036813290541816124;0.0013215027373985274;0.00018878610534264677;0.0002831791580139702;0.00037757221068529355;0.0;0.0;0.0;0.0
Duiven;0.31858236315687916;0.2666109217212324;0.21039428828712936;0.054287000707532;0.04663279089213353;0.041422782530391715;0.03897858107673506;0.009262237087541005;0.0007718530906284171;0.0052743294526275165;0.004888402907313308;0.001222100726828327;0.0010291374541712228;0.0002572843635428057;0.00012864218177140285;0.0002572843635428057;0.0;0.0;0.0
Echt-Susteren;0.4203094175059703;0.2687156058560897;0.12298826705430381;0.05933963243692244;0.04890457896376285;0.03769079015678538;0.023777385525905928;0.0025438687571384074;0.0004153255113695359;0.008462257294154294;0.004101339424774167;0.0009863980895026478;0.0010383137784238396;0.00015574706676357595;0.00046724120029072787;0.00010383137784238397;0.0;0.0;0.0
Edam-Volendam;0.4421706663626518;0.13635068118337798;0.2040129966368352;0.03391666191643391;0.1097873795815995;0.029641452431169127;0.026335290429231033;0.005130251382317734;0.0005130251382317733;0.0040471983127173235;0.004446217864675369;0.0009120446901898193;0.0017100837941059113;0.0003420167588211822;0.0005130251382317733;0.0;0.0;0.0001710083794105911;0.0
Ede;0.3561218530017522;0.16888506347791338;0.16530386400663982;0.03536626602317789;0.0393931941840091;0.042974393655282654;0.029725492607051734;0.06114168024346008;0.09304970643386308;0.0029510313239679074;0.002566782453659586;0.000829977559865974;0.0006762780117426455;0.00039961882512065417;0.00016906950293566137;0.0002459192769973256;0.0;0.00019980941256032708;0.0
Eemnes;0.3083527097120372;0.19155786084779108;0.2641745662672152;0.0473976032910034;0.0473976032910034;0.04882847433375067;0.057055982829547484;0.016455016991593633;0.006438919692362726;0.005723484170989089;0.0026828832051511357;0.0014308710427472723;0.0023251654444643175;0.0;0.00017885888034340904;0.0;0.0;0.0;0.0
Eemsmond;0.27342806724250024;0.3688121110801523;0.10829386087118045;0.059905266090833104;0.027862914460852605;0.038915203863657474;0.020897185845639453;0.083681619764094;0.0051082009844896446;0.004458066313736417;0.002972044209157611;0.0033435497353023124;0.0008358874338255781;0.0;0.001300269341506455;0.0;0.0;0.0001857527630723507;0.0
Eersel;0.4680298041933807;0.15603881476347253;0.18298388494195114;0.062120949575463526;0.04695893259400451;0.031883555709582394;0.035175879396984924;0.002772483105181078;8.664009703690868e-05;0.0034656038814763475;0.0064980072777681515;0.002512562814070352;0.00043320048518454343;8.664009703690868e-05;0.00025992029111072604;0.00034656038814763474;8.664009703690868e-05;0.00025992029111072604;0.0
Eibergen;0.4601422838380153;0.25556366289675303;0.123859905144108;0.05016417365924845;0.032834731849689894;0.03657424297701569;0.02435242612185334;0.004377964246625319;0.0008208682962422473;0.00446917183509668;0.003557095950383072;0.001459321415541773;0.0006384531192995258;9.120758847136082e-05;0.0005472455308281649;0.0004560379423568041;0.0;9.120758847136082e-05;0.0
Eijsden;0.43153080441216035;0.2602905569007264;0.1393596986817326;0.046946462200699486;0.04008609093354856;0.042910949690610704;0.026903416733925208;0.0009416195856873823;0.0005380683346785041;0.004304546677428033;0.0026903416733925207;0.0010761366693570083;0.0014796879203658865;0.00013451708366962604;0.0004035512510088781;0.0004035512510088781;0.0;0.0;0.0
Eindhoven;0.2542919750849768;0.27109753782977036;0.17530237935020793;0.10185137256931863;0.05881946960677744;0.06213227047638767;0.04866538985799817;0.008920406508273375;0.0008282002174025571;0.005426436841106337;0.0044774574253325745;0.004865676277240023;0.000569387649464258;0.0016305191780112843;0.0003882188519074486;0.00039684593750539195;0.00016391462636092274;0.00017254171195886606;0.0
Elburg;0.4214044418888809;0.13685042765758643;0.12003162509882843;0.02479695249047653;0.03162509882843384;0.019406310644720766;0.01437504492201538;0.10120031625098828;0.12355351110472221;0.0024437576367426148;0.0021562567383023074;0.0010062531445410767;0.000718752246100769;7.18752246100769e-05;0.00021562567383023073;7.18752246100769e-05;0.0;7.18752246100769e-05;0.0
Emmen;0.2561725083909332;0.4454167879967509;0.11140400619166577;0.05820778862511303;0.035923922205704305;0.034728501586231204;0.027418044720991894;0.019096078100813804;0.0012107465248509556;0.0036169136691750065;0.0035556100476635656;0.0016245459700531808;0.0008122729850265904;0.00015325905377860198;0.0005057548774693865;0.00015325905377860198;0.0;0.0;0.0
Enkhuizen;0.2274895078214422;0.30122090805036245;0.20984357115604732;0.06781762685997711;0.053605494086226634;0.053891644410530334;0.043590232735597104;0.015547500953834415;0.013353681800839375;0.006009156810377719;0.0048645555131629145;0.0008584509729111027;0.0008584509729111027;0.0007630675314765357;0.00019076688286913393;0.0;0.0;9.538344143456696e-05;0.0
Enschede;0.2210947499509934;0.3817441739792212;0.1561869400274437;0.06514996021816588;0.03823668461653771;0.05691685020121536;0.04141923134577909;0.030510937121640165;0.0016835210959030475;0.0;0.0032517325277031466;0.0016489281966721632;0.0008532915143618187;0.0;0.0009686011784647671;0.0003343980258985506;0.0;0.0;0.0
Epe;0.3193374779623272;0.28607219077665397;0.19045188828059756;0.03363644799109214;0.04342581423401689;0.03298691658160898;0.02783706040642108;0.024960564164424236;0.028393801614549505;0.006124153289412638;0.0038043982555442143;0.0012526677182889488;0.000695926510160527;0.0002783706040642108;0.0003247657047415793;0.0004175559060963162;0.0;0.0;0.0
Ermelo;0.45125496944164245;0.12276745979944223;0.15700468759271347;0.03874681065685635;0.03898415712336083;0.03868747404023023;0.024862042366344272;0.0777903043968433;0.042307007654423544;0.004094226547202279;0.0018394351154097193;0.0007120393995134397;0.00035601969975671986;0.00023734646650447992;5.933661662611998e-05;0.00011867323325223996;0.0;0.00017800984987835993;0.0
