RegioNaam;Partij van de Arbeid;VVD;CDA;Democraten 66;GL;SP;Reformatorische Politieke Federatie;Staatkundig Gereformeerde Partij;Gereformeerd Politiek Verbond;Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Voerendaal;0.26690022057869467;0.21175554690541065;0.2990787595692228;0.08862073439730116;0.0647463345011029;0.0359413520176463;0.002205786946931361;0.0;0.002205786946931361;0.007136369534189698;0.004022317373816011;0.0035033086804203972;0.004022317373816011;0.002854547813675879;0.0007785130400934215;0.0033735565070714935;0.001946282600233554;0.0;0.0007785130400934215;0.0001297521733489036;0.0;0.0
Voorburg;0.2090605272929818;0.36233857325576596;0.16012707843379956;0.12819243305689648;0.061971366093163345;0.022940132854726247;0.011263770268597598;0.0033007385402483804;0.008004290960102323;0.0056525147501753515;0.004951107810372571;0.006188884762965714;0.006395180921731238;0.001691628501877295;0.0017328877336303997;0.0019804431241490284;0.0018154061971366092;0.0010727400255807237;0.0;0.0005363700127903619;0.00041259231753104755;0.0003713330857779428
Voorhout;0.20518633980444947;0.3698455434320533;0.2023522743375372;0.11336261867649143;0.053138727504605354;0.018563128808275473;0.007368570213971943;0.0021255491001842142;0.004534504747059657;0.003542581833640357;0.0038259883803315855;0.005384724387133343;0.0025506589202210573;0.0029757687402579;0.0014170327334561428;0.002408955646875443;0.0009919229134193;0.00014170327334561429;0.0;0.0;0.00014170327334561429;0.00014170327334561429
Voorschoten;0.19243763927826898;0.3761052404571921;0.17719790094170082;0.13521673495794695;0.06081518222989001;0.016246136151247214;0.008410610308389044;0.004169362375098843;0.006901013586370498;0.0030910790022284523;0.0035223923513766084;0.003666163467759327;0.0046006757242469986;0.0014377111638271872;0.0014377111638271872;0.0019409100711667026;0.0015095967220185465;0.0007907411401049529;0.0;0.0001437711163827187;7.188555819135935e-05;0.0002875422327654374
Voorst;0.297675082013978;0.2501782912565968;0.2650834403080873;0.08044501497646556;0.044644130651832835;0.01176722293538725;0.010412209385251748;0.015760947083155043;0.0038510911424903724;0.003351875624019398;0.0020681785765226074;0.0035658251319355297;0.0019255455712451862;0.0032805591213806874;0.0011410640422193695;0.0014976465554129225;0.001426330052774212;0.0002139495079161318;0.001426330052774212;0.0002139495079161318;7.13165026387106e-05;0.0
Vorden;0.2704311744542666;0.27295688255457334;0.29099765469962113;0.06675085693667689;0.048529677070178606;0.018040772145047807;0.010463647844127729;0.002886523543207649;0.0036081544290095615;0.0016236694930543028;0.0018040772145047808;0.004149377593360996;0.0016236694930543028;0.0027061158217571712;0.001984484935955259;0.0005412231643514342;0.00018040772145047808;0.0;0.00036081544290095615;0.00018040772145047808;0.00018040772145047808;0.0
Vriezenveen;0.27350427350427353;0.13744280410947077;0.34947768281101615;0.033324699991366655;0.029180695847362513;0.016230682897349562;0.08970042303375636;0.04523871190537857;0.009065009065009065;0.002849002849002849;0.003194336527669861;0.005957005957005957;0.001640334973668307;0.000604333937667271;0.000345333678667012;0.000690667357334024;0.000259000259000259;0.000259000259000259;0.0;8.6333419666753e-05;0.000172666839333506;0.000777000777000777
Vught;0.28510090167453844;0.28610276227279235;0.18713324745956778;0.11177901817661372;0.06755402891083441;0.0320595391441248;0.0020037211965078;0.0011449835408616;0.0025762129669386004;0.0047230571060541005;0.0031487047373694003;0.0035780735651925;0.0033633891512809505;0.0037211965078002003;0.0016459138399885502;0.00135966795477315;0.0012881064834693002;0.0005724917704308;0.0007871761843423501;0.0;7.156147130385e-05;0.0002862458852154
Waalre;0.22602168473728107;0.33632193494578816;0.19849874895746455;0.1256255212677231;0.05358632193494579;0.027522935779816515;0.0022935779816513763;0.0007297748123436197;0.0013552960800667223;0.005108423686405338;0.0028148457047539616;0.005629691409507923;0.0050041701417848205;0.0026063386155129272;0.0009382819015846538;0.0017723102585487907;0.0016680567139282735;0.0004170141784820684;0.0015638031693077565;0.0;0.0004170141784820684;0.0001042535446205171
Waalwijk;0.2843578210894553;0.2529152090621356;0.2026486756621689;0.0661335998667333;0.05609695152423788;0.03906380143261703;0.026278527402965185;0.026111944027986007;0.005580543061802432;0.007954356155255705;0.005455605530568049;0.007746126936531734;0.006580043311677494;0.003081792437114776;0.0012910211560886223;0.0025820423121772447;0.0008745627186406797;0.0009995002498750624;0.0034566050308179243;0.0003748125937031484;0.0002498750624687656;0.0001665833749791771
Waddinxveen;0.22488069556122114;0.2887494279924168;0.1605543570634765;0.08269595345492581;0.03922337713277113;0.01830424266195986;0.0655030398117278;0.06674511342093221;0.024972216774530955;0.00738706936000523;0.007844675426554227;0.00451068837026868;0.0033993593515068313;0.0019611688566385566;0.0008498398378767078;0.0009152121330979931;0.0003922337713277113;0.0007190952474341374;0.0;0.00026148918088514085;6.537229522128521e-05;6.537229522128521e-05
Wageningen;0.2994841711338121;0.17593810053605746;0.13320521897441084;0.13558207747547285;0.1599575199757257;0.02786487306564175;0.02346515626580358;0.013603722059269747;0.010266005866289066;0.002882573075756043;0.0017700010114291493;0.0035400020228582986;0.0018711439263679578;0.001112572064326894;0.005057145746940427;0.0014160008091433196;0.0006574289471022555;0.0009102862344492768;0.00025285728734702133;0.000556286032163447;0.0006068574896328512;0.0
Warmond;0.20524155352068205;0.34827912851278814;0.22260814651089358;0.09504262709188506;0.06251973476476161;0.01894537417113988;0.004104831070413641;0.005683612251341964;0.0031575623618566467;0.0050520997789706345;0.007578149668455952;0.006315124723713293;0.0025260498894853173;0.003789074834227976;0.0022102936532996525;0.0025260498894853173;0.002841806125670982;0.000947268708556994;0.0;0.0006315124723713293;0.0;0.0
Warnsveld;0.31974805483512414;0.2593553167839941;0.17247128566135606;0.10429788810670619;0.07410151908114117;0.021859948128936643;0.018895887365690995;0.0024082993701370877;0.00889218228973694;0.0011115227862171174;0.00444609114486847;0.0035198221563542053;0.0031493145609484993;0.0014820303816228233;0.002593553167839941;0.0012967765839199705;0.0;0.0;0.0001852537977028529;0.0001852537977028529;0.0;0.0
Wassenaar;0.13516024152345565;0.5093225399774401;0.17470638975515893;0.09057129586623316;0.03735651250746467;0.01154535200053082;0.007232433149757813;0.002255988321942804;0.0033839824829142062;0.004312918850773007;0.0021232831265344037;0.007630548735983014;0.0037820980691394067;0.002720456505872205;0.0015261097471966027;0.003450335080618406;0.0010616415632672019;0.0009289363678588017;0.0;0.0005308207816336009;0.00013270519540840023;0.00026541039081680047
Wateringen;0.17834614061245554;0.3771074664525748;0.26505333180410595;0.0755820621630921;0.04117444661084987;0.015254042894827388;0.008372519784378942;0.0009175364147264595;0.006422754903085216;0.009748824406468631;0.00401422181442826;0.004817066177313912;0.004358297969950683;0.002981993347860993;0.001605688725771304;0.000802844362885652;0.001605688725771304;0.00045876820736322975;0.00045876820736322975;0.0005734602592040372;0.00022938410368161487;0.00011469205184080744
Waterland;0.2504993644452515;0.33711639731251136;0.15734519702197203;0.11203922280733612;0.07181768658071545;0.020337751952061014;0.008806972943526422;0.0013619030325040856;0.005266025059015798;0.006355547485019067;0.006173960414018522;0.010441256582531323;0.0037225349555111676;0.0034501543490103505;0.0019974577810059923;0.0008171418195024514;0.0015434901035046304;0.00027238060650081714;0.0;0.0003631741420010895;9.079353550027238e-05;0.00018158707100054475
Weerselo;0.17788298951640175;0.160128508623605;0.5549543456205613;0.0397362191410213;0.028914440311126142;0.006256340886033142;0.0018599932363882314;0.0;0.002198173824822455;0.008285424416638485;0.003043625295908015;0.004227257355427798;0.003043625295908015;0.004058167061210686;0.0008454514710855597;0.0013527223537368955;0.002705444707473791;0.00033818058843422386;0.0;0.0;0.0;0.00016909029421711193
