RegioNaam;VVD;Partij van de Arbeid;PVV;CDA;SP;Democraten 66;GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit;Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Lith;0.21865596790371114;0.12111334002006018;0.1792878635907723;0.23520561685055166;0.13916750250752258;0.04714142427281846;0.03385155466399198;0.0050150451354062184;0.0007522567703109327;0.007773319959879639;0.007773319959879639;0.0015045135406218655;0.0015045135406218655;0.0012537612838515546;0.0;0.0;0.0;0.0
Littenseradiel;0.17485679831172746;0.2307808260476334;0.0756707868555924;0.2348507687669581;0.10732589689478444;0.05230630087428399;0.0756707868555924;0.02758516731986735;0.0007536930961712391;0.0104009647271631;0.0022610792885137173;0.005275851673198674;0.0010551703346397348;0.0006029544769369913;0.00030147723846849563;0.00030147723846849563;0.0;0.0
Lochem;0.27293201332520056;0.22099188288837798;0.07971660488903486;0.15169145591892272;0.07887204992258245;0.08764603762961573;0.07028574109698306;0.014873551353633932;0.0011260732886032;0.011589170928541266;0.004598132595129733;0.003988176230469666;0.0005630366443016;0.0005161169239431333;0.00018767888143386667;0.0001407591610754;0.0002815183221508;0.0
Loenen;0.3321468714874485;0.13581865867366055;0.10528287748220307;0.14050206069689022;0.0532034469838891;0.10191082802547771;0.0648182840014987;0.024166354439865118;0.020044960659423006;0.013113525665043087;0.005058074185088048;0.002810041213937804;0.0007493443237167478;0.00018733608092918696;0.0;0.0;0.00018733608092918696;0.0
Loon op Zand;0.2293404094010614;0.14435178165276724;0.19484457922668688;0.17717968157695224;0.11721000758150114;0.05284306292645944;0.043821076573161484;0.007354056103108415;0.005079605761940865;0.0133434420015163;0.009476876421531463;0.0028809704321455646;0.0010614101592115238;0.0006065200909780137;0.0003790750568612585;0.0;0.0002274450341167551;0.0
Lopik;0.2173341303048416;0.08798565451285116;0.1763299462044232;0.22893006575014943;0.05666467423789599;0.031560071727435746;0.030842797369994023;0.09109384339509863;0.05786013150029887;0.00932456664674238;0.007650926479378362;0.002630005977286312;0.0008368200836820083;0.0005977286312014345;0.00011954572624028691;0.00011954572624028691;0.00011954572624028691;0.0
Loppersum;0.11436212049708983;0.24193802107912538;0.09359760893503224;0.1936448010067642;0.10822715117193644;0.04058518168947617;0.08242881862513764;0.09029416391379581;0.010539562686801951;0.014000314613811547;0.006134969325153374;0.0022022966808242883;0.0012584552461853075;0.00047192071731949034;0.0;0.0;0.0;0.0003146138115463269
Losser;0.19044326649765692;0.16263347929630484;0.17899669662748713;0.24790658369824076;0.10194361219943152;0.049396942459860184;0.0397941153875701;0.0092955366059768;0.0007682261657832066;0.007144503341783821;0.007759084274410386;0.002227855880771299;0.0007682261657832066;0.0003841130828916033;0.00023046784973496196;0.00015364523315664132;0.00015364523315664132;0.0
Maarssen;0.2605113757630085;0.17266402014769283;0.1814572928672045;0.1070559610705596;0.07832842446749477;0.07982242711401374;0.06880949331967388;0.022153924958381355;0.004567379519358006;0.013104537499466428;0.006658983224484569;0.0025611473940325264;0.0011098305374140948;0.0005549152687070474;0.00021342894950271055;0.0;0.0004268578990054211;0.0
Maasdonk;0.19567939887288666;0.11161552911709455;0.1995929868503444;0.24405134627426425;0.15059486537257358;0.03850970569818409;0.03490920475892298;0.003913587977457733;0.0;0.006418284283030683;0.011271133375078271;0.0012523481527864746;0.00015654351909830932;0.0012523481527864746;0.00031308703819661864;0.00031308703819661864;0.00015654351909830932;0.0
